,Experiment name:,Sample experiment
'0:0:16.2,70,0.5210
'0:0:16.3,70,0.5206
'0:0:16.4,70,0.5201
'0:0:16.5,70,0.5195
'0:0:16.6,70,0.5187
'0:0:16.7,70,0.5185
'0:0:16.8,70,0.5180
'0:0:16.9,70,0.5176
'0:0:17.0,70,0.5172
'0:0:17.1,70,0.5173
'0:0:17.2,70,0.5174
'0:0:17.3,70,0.5176
'0:0:17.4,70,0.5173
'0:0:17.5,70,0.5172
'0:0:17.6,70,0.5170
'0:0:17.7,70,0.5167
'0:0:17.8,70,0.5165
'0:0:17.9,70,0.5163
'0:0:18.0,70,0.5163
'0:0:18.1,70,0.5159
'0:0:18.2,70,0.5156
'0:0:18.3,70,0.5155
'0:0:18.4,70,0.5154
'0:0:18.5,70,0.5153
'0:0:18.6,70,0.5152
'0:0:18.7,70,0.5153
'0:0:18.8,70,0.5154
'0:0:18.9,70,0.5156
'0:0:19.0,70,0.5161
'0:0:19.1,70,0.5164
'0:0:19.2,71,0.5167
'0:0:19.3,71,0.5172
'0:0:19.4,71,0.5178
'0:0:19.5,71,0.5185
'0:0:19.6,71,0.5191
'0:0:19.7,71,0.5197
'0:0:19.8,71,0.5203
'0:0:19.9,71,0.5208
'0:0:20.0,71,0.5215
'0:0:20.1,71,0.5220
'0:0:20.2,71,0.5224
'0:0:20.3,71,0.5229
'0:0:20.4,71,0.5231
'0:0:20.5,71,0.5234
'0:0:20.6,71,0.5237
'0:0:20.7,71,0.5240
'0:0:20.8,71,0.5243
'0:0:20.9,71,0.5244
'0:0:21.0,71,0.5243
'0:0:21.1,71,0.5238
'0:0:21.2,71,0.5234
'0:0:21.3,71,0.5231
'0:0:21.4,71,0.5227
'0:0:21.5,71,0.5225
'0:0:21.6,71,0.5224
'0:0:21.7,71,0.5218
'0:0:21.8,71,0.5216
'0:0:21.9,71,0.5213
'0:0:22.0,71,0.5207
'0:0:22.1,71,0.5204
'0:0:22.2,71,0.5201
'0:0:22.3,71,0.5196
'0:0:22.4,71,0.5191
'0:0:22.5,71,0.5186
'0:0:22.6,71,0.5181
'0:0:22.7,71,0.5175
'0:0:22.8,71,0.5172
'0:0:22.9,71,0.5166
'0:0:23.0,71,0.5160
'0:0:23.1,71,0.5156
'0:0:23.2,71,0.5154
'0:0:23.3,71,0.5145
'0:0:23.4,71,0.5140
'0:0:23.5,71,0.5135
'0:0:23.6,71,0.5129
'0:0:23.7,71,0.5125
'0:0:23.8,71,0.5122
'0:0:23.9,71,0.5116
'0:0:24.0,71,0.5110
'0:0:24.1,71,0.5106
'0:0:24.2,71,0.5102
'0:0:24.3,71,0.5098
'0:0:24.4,71,0.5097
'0:0:24.5,71,0.5095
'0:0:24.6,71,0.5094
'0:0:24.7,71,0.5093
'0:0:24.8,71,0.5094
'0:0:24.9,71,0.5093
'0:0:25.0,71,0.5096
'0:0:25.1,71,0.5097
'0:0:25.2,70,0.5098
'0:0:25.3,70,0.5098
'0:0:25.4,70,0.5100
'0:0:25.5,70,0.5101
'0:0:25.6,70,0.5100
'0:0:25.7,70,0.5100
'0:0:25.8,70,0.5097
'0:0:25.9,70,0.5097
'0:0:26.0,70,0.5100
'0:0:26.1,70,0.5101
'0:0:26.2,70,0.5098
'0:0:26.3,70,0.5088
'0:0:26.4,70,0.5086
'0:0:26.5,70,0.5084
'0:0:26.6,70,0.5083
'0:0:26.7,70,0.5081
'0:0:26.8,70,0.5084
'0:0:26.9,70,0.5085
'0:0:27.0,70,0.5084
'0:0:27.1,70,0.5082
'0:0:27.2,70,0.5080
'0:0:27.3,70,0.5080
'0:0:27.4,70,0.5075
'0:0:27.5,70,0.5071
'0:0:27.6,70,0.5068
'0:0:27.7,70,0.5068
'0:0:27.8,70,0.5066
'0:0:27.9,70,0.5062
'0:0:28.0,70,0.5062
'0:0:28.1,70,0.5057
'0:0:28.2,70,0.5055
'0:0:28.3,70,0.5052
'0:0:28.4,70,0.5049
'0:0:28.5,70,0.5045
'0:0:28.6,70,0.5042
'0:0:28.7,70,0.5039
'0:0:28.8,70,0.5034
'0:0:28.9,70,0.5030
'0:0:29.0,70,0.5028
'0:0:29.1,70,0.5020
'0:0:29.2,70,0.5011
'0:0:29.3,70,0.5008
'0:0:29.4,70,0.5005
'0:0:29.5,70,0.5005
'0:0:29.6,70,0.5002
'0:0:29.7,70,0.4997
'0:0:29.8,70,0.4998
'0:0:29.9,70,0.4994
'0:0:30.0,70,0.4990
'0:0:30.1,70,0.4989
'0:0:30.2,70,0.4989
'0:0:30.3,70,0.4989
'0:0:30.4,70,0.4989
'0:0:30.5,70,0.4987
'0:0:30.6,70,0.4987
'0:0:30.7,70,0.4990
'0:0:30.8,70,0.4992
'0:0:30.9,70,0.4993
'0:0:31.0,70,0.4994
'0:0:31.1,70,0.4998
'0:0:31.2,70,0.5007
'0:0:31.3,70,0.5011
'0:0:31.4,70,0.5013
'0:0:31.5,70,0.5012
'0:0:31.6,70,0.5011
'0:0:31.7,70,0.5013
'0:0:31.8,70,0.5016
'0:0:31.9,70,0.5017
'0:0:32.0,70,0.5018
'0:0:32.1,70,0.5019
'0:0:32.2,70,0.5020
'0:0:32.3,70,0.5021
'0:0:32.4,70,0.5024
'0:0:32.5,70,0.5024
'0:0:32.6,70,0.5022
'0:0:32.7,70,0.5021
'0:0:32.8,70,0.5021
'0:0:32.9,70,0.5021
'0:0:33.0,70,0.5018
'0:0:33.1,70,0.5026
'0:0:33.2,70,0.5020
'0:0:33.3,70,0.5014
'0:0:33.4,70,0.5009
'0:0:33.5,70,0.5006
'0:0:33.6,70,0.5004
'0:0:33.7,70,0.5000
'0:0:33.8,70,0.4996
'0:0:33.9,70,0.4993
'0:0:34.0,70,0.4989
'0:0:34.1,70,0.4987
'0:0:34.2,70,0.4985
'0:0:34.3,70,0.4982
'0:0:34.4,70,0.4978
'0:0:34.5,70,0.4975
'0:0:34.6,70,0.4971
'0:0:34.7,70,0.4968
'0:0:34.8,70,0.4966
'0:0:34.9,70,0.4963
'0:0:35.0,70,0.4959
'0:0:35.1,70,0.4955
'0:0:35.2,70,0.4950
'0:0:35.3,70,0.4947
'0:0:35.4,70,0.4947
'0:0:35.5,70,0.4948
'0:0:35.6,70,0.4942
'0:0:35.7,70,0.4938
'0:0:35.8,70,0.4935
'0:0:35.9,70,0.4930
'0:0:36.0,70,0.4925
'0:0:36.1,70,0.4922
'0:0:36.2,70,0.4918
'0:0:36.3,70,0.4916
'0:0:36.4,70,0.4910
'0:0:36.5,70,0.4907
'0:0:36.6,70,0.4903
'0:0:36.7,70,0.4900
'0:0:36.8,70,0.4893
'0:0:36.9,70,0.4890
'0:0:37.0,70,0.4888
'0:0:37.1,70,0.4883
'0:0:37.2,70,0.4878
'0:0:37.3,70,0.4875
'0:0:37.4,70,0.4872
'0:0:37.5,70,0.4870
'0:0:37.6,70,0.4865
'0:0:37.7,70,0.4863
'0:0:37.8,70,0.4859
'0:0:37.9,70,0.4854
'0:0:38.0,70,0.4852
'0:0:38.1,70,0.4846
'0:0:38.2,70,0.4843
'0:0:38.3,70,0.4839
'0:0:38.4,70,0.4835
'0:0:38.5,70,0.4831
'0:0:38.6,70,0.4829
'0:0:38.7,70,0.4826
'0:0:38.8,70,0.4820
'0:0:38.9,70,0.4816
'0:0:39.0,70,0.4812
'0:0:39.1,70,0.4807
'0:0:39.2,70,0.4805
'0:0:39.3,70,0.4801
'0:0:39.4,70,0.4797
'0:0:39.5,70,0.4793
'0:0:39.6,70,0.4791
'0:0:39.7,70,0.4789
'0:0:39.8,70,0.4787
'0:0:39.9,70,0.4786
'0:0:40.0,70,0.4786
'0:0:40.1,70,0.4784
'0:0:40.2,70,0.4781
'0:0:40.3,70,0.4779
'0:0:40.4,70,0.4777
'0:0:40.5,70,0.4778
'0:0:40.6,70,0.4778
'0:0:40.7,70,0.4777
'0:0:40.8,70,0.4778
'0:0:40.9,70,0.4779
'0:0:41.0,70,0.4779
'0:0:41.1,70,0.4779
'0:0:41.2,70,0.4778
'0:0:41.3,70,0.4776
'0:0:41.4,70,0.4774
'0:0:41.5,70,0.4770
'0:0:41.6,70,0.4765
'0:0:41.7,70,0.4760
'0:0:41.8,70,0.4756
'0:0:41.9,70,0.4754
'0:0:42.0,70,0.4753
'0:0:42.1,70,0.4752
'0:0:42.2,70,0.4748
'0:0:42.3,70,0.4749
'0:0:42.4,70,0.4744
'0:0:42.5,70,0.4745
'0:0:42.6,70,0.4739
'0:0:42.7,70,0.4735
'0:0:42.8,70,0.4731
'0:0:42.9,70,0.4727
'0:0:43.0,70,0.4723
'0:0:43.1,70,0.4723
'0:0:43.2,70,0.4721
'0:0:43.3,70,0.4717
'0:0:43.4,70,0.4715
'0:0:43.5,70,0.4713
'0:0:43.6,70,0.4709
'0:0:43.7,70,0.4705
'0:0:43.8,70,0.4700
'0:0:43.9,70,0.4695
'0:0:44.0,70,0.4692
'0:0:44.1,70,0.4690
'0:0:44.2,70,0.4689
'0:0:44.3,70,0.4685
'0:0:44.4,70,0.4682
'0:0:44.5,70,0.4679
'0:0:44.6,70,0.4678
'0:0:44.7,70,0.4678
'0:0:44.8,70,0.4676
'0:0:44.9,70,0.4677
'0:0:45.0,70,0.4680
'0:0:45.1,70,0.4684
'0:0:45.2,70,0.4691
'0:0:45.3,70,0.4702
'0:0:45.4,70,0.4717
'0:0:45.5,70,0.4735
'0:0:45.6,70,0.4756
'0:0:45.7,70,0.4777
'0:0:45.8,70,0.4801
'0:0:45.9,70,0.4826
'0:0:46.0,70,0.4851
'0:0:46.1,70,0.4871
'0:0:46.2,70,0.4894
'0:0:46.3,70,0.4914
'0:0:46.4,70,0.4935
'0:0:46.5,70,0.4950
'0:0:46.6,70,0.4964
'0:0:46.7,70,0.4978
'0:0:46.8,70,0.4989
'0:0:46.9,70,0.5002
'0:0:47.0,70,0.5008
'0:0:47.1,70,0.5015
'0:0:47.2,70,0.5024
'0:0:47.3,70,0.5031
'0:0:47.4,70,0.5038
'0:0:47.5,70,0.5041
'0:0:47.6,70,0.5044
'0:0:47.7,70,0.5049
'0:0:47.8,70,0.5054
'0:0:47.9,70,0.5061
'0:0:48.0,70,0.5062
'0:0:48.1,70,0.5062
'0:0:48.2,70,0.5064
'0:0:48.3,70,0.5062
'0:0:48.4,70,0.5059
'0:0:48.5,70,0.5055
'0:0:48.6,70,0.5049
'0:0:48.7,70,0.5044
'0:0:48.8,70,0.5040
'0:0:48.9,70,0.5035
'0:0:49.0,70,0.5029
'0:0:49.1,70,0.5023
'0:0:49.2,70,0.5018
'0:0:49.3,70,0.5012
'0:0:49.4,70,0.5006
'0:0:49.5,70,0.5000
'0:0:49.6,70,0.4991
'0:0:49.7,70,0.4987
'0:0:49.8,70,0.4982
'0:0:49.9,70,0.4974
'0:0:50.0,70,0.4968
'0:0:50.1,70,0.4963
'0:0:50.2,70,0.4960
'0:0:50.3,70,0.4955
'0:0:50.4,70,0.4948
'0:0:50.5,70,0.4944
'0:0:50.6,71,0.4935
'0:0:50.7,71,0.4929
'0:0:50.8,71,0.4925
'0:0:50.9,71,0.4922
'0:0:51.0,71,0.4917
'0:0:51.1,71,0.4914
'0:0:51.2,71,0.4907
'0:0:51.3,71,0.4901
'0:0:51.4,71,0.4895
'0:0:51.5,70,0.4890
'0:0:51.6,70,0.4884
'0:0:51.7,70,0.4879
'0:0:51.8,70,0.4875
'0:0:51.9,70,0.4869
'0:0:52.0,70,0.4866
'0:0:52.1,70,0.4865
'0:0:52.2,70,0.4862
'0:0:52.3,70,0.4859
'0:0:52.4,70,0.4852
'0:0:52.5,70,0.4844
'0:0:52.6,70,0.4841
'0:0:52.7,70,0.4835
'0:0:52.8,70,0.4831
'0:0:52.9,70,0.4827
'0:0:53.0,70,0.4822
'0:0:53.1,70,0.4817
'0:0:53.2,71,0.4812
'0:0:53.3,71,0.4809
'0:0:53.4,71,0.4803
'0:0:53.5,71,0.4797
'0:0:53.6,71,0.4795
'0:0:53.7,71,0.4789
'0:0:53.8,71,0.4786
'0:0:53.9,71,0.4783
'0:0:54.0,70,0.4779
'0:0:54.1,70,0.4776
'0:0:54.2,70,0.4773
'0:0:54.3,70,0.4772
'0:0:54.4,70,0.4773
'0:0:54.5,70,0.4773
'0:0:54.6,70,0.4776
'0:0:54.7,70,0.4778
'0:0:54.8,70,0.4777
'0:0:54.9,71,0.4776
'0:0:55.0,71,0.4778
'0:0:55.1,71,0.4778
'0:0:55.2,71,0.4779
'0:0:55.3,71,0.4779
'0:0:55.4,71,0.4780
'0:0:55.5,71,0.4781
'0:0:55.6,71,0.4781
'0:0:55.7,71,0.4781
'0:0:55.8,71,0.4781
'0:0:55.9,71,0.4782
'0:0:56.0,71,0.4782
'0:0:56.1,71,0.4779
'0:0:56.2,71,0.4776
'0:0:56.3,71,0.4774
'0:0:56.4,71,0.4772
'0:0:56.5,71,0.4768
'0:0:56.6,70,0.4764
'0:0:56.7,70,0.4762
'0:0:56.8,70,0.4760
'0:0:56.9,70,0.4760
'0:0:57.0,70,0.4756
'0:0:57.1,70,0.4752
'0:0:57.2,70,0.4746
'0:0:57.3,70,0.4742
'0:0:57.4,70,0.4740
'0:0:57.5,70,0.4736
'0:0:57.6,70,0.4733
'0:0:57.7,70,0.4730
'0:0:57.8,70,0.4727
'0:0:57.9,70,0.4725
'0:0:58.0,70,0.4719
'0:0:58.1,70,0.4717
'0:0:58.2,70,0.4714
'0:0:58.3,70,0.4711
'0:0:58.4,70,0.4707
'0:0:58.5,70,0.4704
'0:0:58.6,70,0.4702
'0:0:58.7,70,0.4698
'0:0:58.8,70,0.4692
'0:0:58.9,70,0.4688
'0:0:59.0,70,0.4684
'0:0:59.1,71,0.4680
'0:0:59.2,71,0.4676
'0:0:59.3,71,0.4675
'0:0:59.4,71,0.4670
'0:0:59.5,71,0.4666
'0:0:59.6,71,0.4664
'0:0:59.7,71,0.4661
'0:0:59.8,71,0.4656
'0:0:59.9,71,0.4652
'0:1:0.0,71,0.4647
'0:1:0.1,71,0.4643
'0:1:0.2,71,0.4638
'0:1:0.3,71,0.4638
'0:1:0.4,71,0.4635
'0:1:0.5,71,0.4632
'0:1:0.6,71,0.4629
'0:1:0.7,71,0.4627
'0:1:0.8,71,0.4621
'0:1:0.9,71,0.4617
'0:1:1.0,71,0.4617
'0:1:1.1,71,0.4614
'0:1:1.2,71,0.4613
'0:1:1.3,71,0.4611
'0:1:1.4,71,0.4607
'0:1:1.5,71,0.4605
'0:1:1.6,71,0.4605
'0:1:1.7,71,0.4607
'0:1:1.8,71,0.4610
'0:1:1.9,71,0.4614
'0:1:2.0,71,0.4617
'0:1:2.1,71,0.4619
'0:1:2.2,71,0.4619
'0:1:2.3,71,0.4620
'0:1:2.4,71,0.4623
'0:1:2.5,71,0.4625
'0:1:2.6,71,0.4627
'0:1:2.7,71,0.4630
'0:1:2.8,71,0.4633
'0:1:2.9,71,0.4634
'0:1:3.0,71,0.4635
'0:1:3.1,71,0.4638
'0:1:3.2,71,0.4639
'0:1:3.3,71,0.4639
'0:1:3.4,71,0.4639
'0:1:3.5,71,0.4641
'0:1:3.6,71,0.4643
'0:1:3.7,71,0.4644
'0:1:3.8,71,0.4645
'0:1:3.9,71,0.4645
'0:1:4.0,71,0.4645
'0:1:4.1,71,0.4645
'0:1:4.2,71,0.4643
'0:1:4.3,71,0.4643
'0:1:4.4,71,0.4640
'0:1:4.5,71,0.4638
'0:1:4.6,71,0.4635
'0:1:4.7,71,0.4632
'0:1:4.8,71,0.4628
'0:1:4.9,71,0.4626
'0:1:5.0,71,0.4623
'0:1:5.1,71,0.4622
'0:1:5.2,71,0.4618
'0:1:5.3,71,0.4615
'0:1:5.4,71,0.4612
'0:1:5.5,71,0.4608
'0:1:5.6,71,0.4605
'0:1:5.7,71,0.4603
'0:1:5.8,71,0.4598
'0:1:5.9,71,0.4596
'0:1:6.0,71,0.4590
'0:1:6.1,71,0.4585
'0:1:6.2,71,0.4579
'0:1:6.3,71,0.4576
'0:1:6.4,71,0.4572
'0:1:6.5,71,0.4567
'0:1:6.6,71,0.4561
'0:1:6.7,71,0.4557
'0:1:6.8,71,0.4555
'0:1:6.9,71,0.4551
'0:1:7.0,71,0.4546
'0:1:7.1,71,0.4542
'0:1:7.2,71,0.4539
'0:1:7.3,71,0.4535
'0:1:7.4,71,0.4532
'0:1:7.5,71,0.4528
'0:1:7.6,71,0.4528
'0:1:7.7,71,0.4526
'0:1:7.8,71,0.4524
'0:1:7.9,71,0.4522
'0:1:8.0,71,0.4520
'0:1:8.1,71,0.4516
'0:1:8.2,71,0.4512
'0:1:8.3,71,0.4509
'0:1:8.4,71,0.4506
'0:1:8.5,71,0.4502
'0:1:8.6,71,0.4500
'0:1:8.7,71,0.4499
'0:1:8.8,71,0.4499
'0:1:8.9,71,0.4498
'0:1:9.0,71,0.4498
'0:1:9.1,71,0.4497
'0:1:9.2,71,0.4492
'0:1:9.3,71,0.4489
'0:1:9.4,71,0.4488
'0:1:9.5,71,0.4489
'0:1:9.6,71,0.4485
'0:1:9.7,71,0.4482
'0:1:9.8,71,0.4481
'0:1:9.9,71,0.4478
'0:1:10.0,70,0.4474
'0:1:10.1,70,0.4471
'0:1:10.2,70,0.4467
'0:1:10.3,70,0.4464
'0:1:10.4,70,0.4461
'0:1:10.5,70,0.4458
'0:1:10.6,70,0.4454
'0:1:10.7,70,0.4451
'0:1:10.8,70,0.4446
'0:1:10.9,70,0.4444
'0:1:11.0,70,0.4441
'0:1:11.1,70,0.4438
'0:1:11.2,70,0.4435
'0:1:11.3,70,0.4435
'0:1:11.4,70,0.4433
'0:1:11.5,70,0.4430
'0:1:11.6,70,0.4426
'0:1:11.7,70,0.4424
'0:1:11.8,70,0.4422
'0:1:11.9,70,0.4421
'0:1:12.0,70,0.4422
'0:1:12.1,70,0.4421
'0:1:12.2,70,0.4422
'0:1:12.3,70,0.4419
'0:1:12.4,70,0.4419
'0:1:12.5,70,0.4418
'0:1:12.6,70,0.4417
'0:1:12.7,70,0.4415
'0:1:12.8,70,0.4413
'0:1:12.9,70,0.4408
'0:1:13.0,70,0.4407
'0:1:13.1,70,0.4407
'0:1:13.2,70,0.4406
'0:1:13.3,70,0.4403
'0:1:13.4,71,0.4400
'0:1:13.5,71,0.4398
'0:1:13.6,71,0.4396
'0:1:13.7,71,0.4395
'0:1:13.8,71,0.4394
'0:1:13.9,71,0.4392
'0:1:14.0,71,0.4391
'0:1:14.1,71,0.4392
'0:1:14.2,71,0.4392
'0:1:14.3,71,0.4394
'0:1:14.4,71,0.4394
'0:1:14.5,71,0.4397
'0:1:14.6,71,0.4402
'0:1:14.7,71,0.4407
'0:1:14.8,71,0.4415
'0:1:14.9,71,0.4421
'0:1:15.0,71,0.4427
'0:1:15.1,71,0.4434
'0:1:15.2,71,0.4441
'0:1:15.3,71,0.4451
'0:1:15.4,71,0.4461
'0:1:15.5,71,0.4469
'0:1:15.6,71,0.4477
'0:1:15.7,71,0.4486
'0:1:15.8,71,0.4495
'0:1:15.9,71,0.4501
'0:1:16.0,71,0.4506
'0:1:16.1,71,0.4510
'0:1:16.2,71,0.4513
'0:1:16.3,71,0.4516
'0:1:16.4,71,0.4520
'0:1:16.5,71,0.4526
'0:1:16.6,71,0.4529
'0:1:16.7,71,0.4530
'0:1:16.8,71,0.4531
'0:1:16.9,71,0.4531
'0:1:17.0,71,0.4530
'0:1:17.1,71,0.4529
'0:1:17.2,71,0.4528
'0:1:17.3,71,0.4528
'0:1:17.4,71,0.4525
'0:1:17.5,72,0.4526
'0:1:17.6,72,0.4522
'0:1:17.7,72,0.4520
'0:1:17.8,72,0.4518
'0:1:17.9,72,0.4516
'0:1:18.0,72,0.4514
'0:1:18.1,72,0.4512
'0:1:18.2,72,0.4510
'0:1:18.3,72,0.4506
'0:1:18.4,72,0.4504
'0:1:18.5,72,0.4499
'0:1:18.6,72,0.4495
'0:1:18.7,72,0.4490
'0:1:18.8,72,0.4484
'0:1:18.9,72,0.4480
'0:1:19.0,72,0.4479
'0:1:19.1,72,0.4474
'0:1:19.2,72,0.4470
'0:1:19.3,72,0.4465
'0:1:19.4,72,0.4461
'0:1:19.5,72,0.4456
'0:1:19.6,72,0.4457
'0:1:19.7,72,0.4451
'0:1:19.8,72,0.4448
'0:1:19.9,72,0.4444
'0:1:20.0,72,0.4440
'0:1:20.1,72,0.4437
'0:1:20.2,72,0.4434
'0:1:20.3,72,0.4430
'0:1:20.4,72,0.4425
'0:1:20.5,72,0.4422
'0:1:20.6,72,0.4421
'0:1:20.7,72,0.4419
'0:1:20.8,72,0.4416
'0:1:20.9,72,0.4415
'0:1:21.0,72,0.4410
'0:1:21.1,72,0.4406
'0:1:21.2,72,0.4405
'0:1:21.3,72,0.4403
'0:1:21.4,72,0.4400
'0:1:21.5,72,0.4396
'0:1:21.6,72,0.4393
'0:1:21.7,72,0.4392
'0:1:21.8,72,0.4390
'0:1:21.9,72,0.4388
'0:1:22.0,72,0.4384
'0:1:22.1,72,0.4382
'0:1:22.2,72,0.4380
'0:1:22.3,72,0.4376
'0:1:22.4,72,0.4374
'0:1:22.5,72,0.4375
'0:1:22.6,71,0.4375
'0:1:22.7,71,0.4377
'0:1:22.8,71,0.4381
'0:1:22.9,71,0.4385
'0:1:23.0,71,0.4388
'0:1:23.1,71,0.4390
'0:1:23.2,71,0.4392
'0:1:23.3,71,0.4397
'0:1:23.4,71,0.4403
'0:1:23.5,71,0.4415
'0:1:23.6,71,0.4418
'0:1:23.7,71,0.4422
'0:1:23.8,71,0.4423
'0:1:23.9,71,0.4424
'0:1:24.0,71,0.4422
'0:1:24.1,71,0.4422
'0:1:24.2,71,0.4422
'0:1:24.3,71,0.4421
'0:1:24.4,71,0.4420
'0:1:24.5,71,0.4417
'0:1:24.6,71,0.4415
'0:1:24.7,71,0.4414
'0:1:24.8,71,0.4411
'0:1:24.9,71,0.4409
'0:1:25.0,71,0.4405
'0:1:25.1,71,0.4400
'0:1:25.2,71,0.4397
'0:1:25.3,71,0.4394
'0:1:25.4,71,0.4390
'0:1:25.5,71,0.4386
'0:1:25.6,71,0.4382
'0:1:25.7,71,0.4380
'0:1:25.8,71,0.4380
'0:1:25.9,71,0.4378
'0:1:26.0,71,0.4375
'0:1:26.1,71,0.4376
'0:1:26.2,71,0.4374
'0:1:26.3,71,0.4370
'0:1:26.4,71,0.4366
'0:1:26.5,71,0.4364
'0:1:26.6,71,0.4361
'0:1:26.7,71,0.4359
'0:1:26.8,71,0.4355
'0:1:26.9,71,0.4353
'0:1:27.0,71,0.4350
'0:1:27.1,71,0.4348
'0:1:27.2,71,0.4344
'0:1:27.3,71,0.4343
'0:1:27.4,71,0.4340
'0:1:27.5,71,0.4337
'0:1:27.6,71,0.4336
'0:1:27.7,71,0.4337
